K,ELE
12800,102.56
12850,102.8372167
12900,103.2549467
12950,103.71788
13000,103.8563
13050,103.7291775
13100,103.50671
13150,103.22069
13200,102.9028875
13250,102.407112
13300,102.20372
13350,102.36262
13400,102.4931
13450,103.18891
13500,103.98342
13550,105.64863
13600,107.28858
13650,108.305552
13700,109.2589625
13750,111.706055
13800,114.68241
13850,119.23647
13900,120.06429
13950,121.3990675
14000,120.9223625
14050,123.687252
14100,124.95847
14150,126.051714
14200,126.650065
14250,127.3737775
14300,127.4646975
14350,128.1365075
14400,128.6873633
14450,128.835675
14500,128.721264
14550,128.29541
14600,128.3746725
14650,128.2636275
14700,126.15341
14750,123.4349625
14800,121.119398
14850,120.3397167
14900,120.15963
14950,123.0902143
15000,128.962795
15050,130.80606
15100,130.04333
15150,129.1534775
15200,128.314478
15250,128.5178725
15300,128.89924
15350,128.2954075
15400,127.7127667
15450,127.4055575
15500,124.935662
15550,118.916028
15600,112.7314
15650,108.916155
15700,107.38392
15750,107.0979
15800,107.28858
15850,107.38392
15900,107.4580733
15950,107.60638
16000,107.8907125
16050,108.27377
16100,108.4962325
16150,110.669302
