K,ELE
9000,110.52
9050,110.522472
9100,110.2971975
9150,110.012576
9200,110.03
9250,109.343565
9300,108.701128
9350,108.103654
9400,107.53
9450,105.170446
9500,103.254535
9550,102.3310175
9600,102.25
9650,103.797482
9700,104.78352
9750,105.4075925
9800,105.64
9850,105.7508325
9900,105.626015
9950,105.81324
10000,105.98
10050,106.936575
10100,107.4670375
10150,107.7
10200,107.7
10250,106.530925
10300,105.0955575
10350,103.62898
10400,103.16
10450,103.722595
10500,104.671188
10550,105.2203733
10600,105.47
10650,106.019184
10700,106.58033
10750,107.0343375
10800,107.01
10850,107.17
10900,107.16
10950,106.84365
11000,106.8753433
11050,106.4737425
11100,105.4434217
11150,104.568178
11200,104.06
11250,102.5850833
11300,101.6952325
11350,102.127446
11400,102.54
11450,102.64864
11500,102.7969533
11550,102.93467
11600,103.18
11650,103.5384925
11700,104.1213925
11750,104.746835
11800,105.42
11850,105.663812
11900,105.76312
11950,105.222855
12000,104.86
12050,103.0013275
12100,102.1509525
12150,101.347216
12200,101.19
12250,100.9325
12300,100.9325
12350,100.99606
12400,101.03
12450,101.154965
12500,101.40921
12550,101.53633
12600,101.74
12650,101.75879
12700,101.9494775
12750,102.20372
12800,102.56
12850,102.8372167
12900,103.2549467
12950,103.71788
13000,103.8563
13050,103.7291775
13100,103.50671
13150,103.22069
13200,102.9028875
13250,102.407112
13300,102.20372
13350,102.36262
13400,102.4931
13450,103.18891
13500,103.98342
13550,105.64863
13600,107.28858
13650,108.305552
13700,109.2589625
13750,111.706055
13800,114.68241
13850,119.23647
13900,120.06429
13950,121.3990675
14000,120.9223625
14050,123.687252
14100,124.95847
14150,126.051714
14200,126.650065
14250,127.3737775
14300,127.4646975
14350,128.1365075
14400,128.6873633
14450,128.835675
14500,128.721264
14550,128.29541
14600,128.3746725
14650,128.2636275
14700,126.15341
14750,123.4349625
14800,121.119398
14850,120.3397167
14900,120.15963
14950,123.0902143
15000,128.962795
15050,130.80606
15100,130.04333
15150,129.1534775
15200,128.314478
15250,128.5178725
15300,128.89924
15350,128.2954075
15400,127.7127667
15450,127.4055575
15500,124.935662
15550,118.916028
15600,112.7314
15650,108.916155
15700,107.38392
15750,107.0979
15800,107.28858
15850,107.38392
15900,107.4580733
15950,107.60638
16000,107.8907125
16050,108.27377
16100,108.4962325
16150,110.669302
16200,112.9373025
16250,111.235086
16300,111.22935
16350,111.261125
16400,111.9285125
16450,112.723025
16500,113.13617
16550,113.51753
16600,114.0114625
16650,114.41427
16700,114.7275725
16750,114.3545967
16800,113.2896425
16850,111.48359
16900,110.78442
16950,110.91154
17000,111.00688
17050,111.48359
17100,112.150975
17150,113.35863
17200,116.473105
17250,119.619365
17300,121.915275
17350,122.828525
17400,122.1124167
17450,120.903985
17500,119.118594
17550,117.6172025
17600,116.79091
17650,116.949815
17700,118.1574675
17750,119.9092075
17800,122.54316
17850,126.197905
17900,128.5573725
17950,128.05104
18000,127.1513125
18050,127.5008975
18100,126.261465
18150,127.0877525
18200,124.8949075
18250,125.2762725
18300,125.1809325
18350,128.3541933
18400,133.0942475
18450,134.6378225
18500,135.504045
18550,136.4311875
18600,135.22353
18650,133.44383
18700,134.36546
18750,134.0476575
18800,131.91837
18850,130.4882575
18900,133.60273
